TrackName: Sequenced by P.J. Barnes
C Controller, Abs: 0 (D 0)
E ProgramChange, Abs: 0 (D 0)
TimeSignature: (4 / 4) 
Tempo: 105
A# NoteOn, Abs: 0 (D 0)
A# NoteOff, Abs: 16 (D 16)
A# NoteOn, Abs: 24 (D 8)
A# NoteOff, Abs: 40 (D 16)
A# NoteOn, Abs: 72 (D 32)
A# NoteOff, Abs: 88 (D 16)
F# NoteOn, Abs: 120 (D 32)
F# NoteOff, Abs: 136 (D 16)
A# NoteOn, Abs: 144 (D 8)
A# NoteOff, Abs: 160 (D 16)
D NoteOn, Abs: 192 (D 32)
D NoteOff, Abs: 208 (D 16)
F# NoteOn, Abs: 384 (D 176)
F# NoteOff, Abs: 400 (D 16)
C# NoteOn, Abs: 456 (D 56)
C# NoteOff, Abs: 472 (D 16)
A NoteOn, Abs: 528 (D 56)
A NoteOff, Abs: 544 (D 16)
D# NoteOn, Abs: 600 (D 56)
D# NoteOff, Abs: 616 (D 16)
F NoteOn, Abs: 648 (D 32)
F NoteOff, Abs: 664 (D 16)
E NoteOn, Abs: 696 (D 32)
E NoteOff, Abs: 712 (D 16)
D# NoteOn, Abs: 720 (D 8)
D# NoteOff, Abs: 736 (D 16)
C# NoteOn, Abs: 768 (D 32)
C# NoteOff, Abs: 784 (D 16)
A# NoteOn, Abs: 800 (D 16)
A# NoteOff, Abs: 816 (D 16)
D NoteOn, Abs: 832 (D 16)
D NoteOff, Abs: 848 (D 16)
E NoteOn, Abs: 864 (D 16)
E NoteOff, Abs: 880 (D 16)
C NoteOn, Abs: 912 (D 32)
C NoteOff, Abs: 928 (D 16)
D NoteOn, Abs: 936 (D 8)
D NoteOff, Abs: 952 (D 16)
A# NoteOn, Abs: 984 (D 32)
A# NoteOff, Abs: 1000 (D 16)
F# NoteOn, Abs: 1032 (D 32)
F# NoteOff, Abs: 1048 (D 16)
G# NoteOn, Abs: 1056 (D 8)
G# NoteOff, Abs: 1072 (D 16)
F NoteOn, Abs: 1080 (D 8)
F NoteOff, Abs: 1096 (D 16)
F# NoteOn, Abs: 1152 (D 56)
F# NoteOff, Abs: 1168 (D 16)
C# NoteOn, Abs: 1224 (D 56)
C# NoteOff, Abs: 1240 (D 16)
A NoteOn, Abs: 1296 (D 56)
A NoteOff, Abs: 1312 (D 16)
D# NoteOn, Abs: 1368 (D 56)
D# NoteOff, Abs: 1384 (D 16)
F NoteOn, Abs: 1416 (D 32)
F NoteOff, Abs: 1432 (D 16)
E NoteOn, Abs: 1464 (D 32)
E NoteOff, Abs: 1480 (D 16)
D# NoteOn, Abs: 1488 (D 8)
D# NoteOff, Abs: 1504 (D 16)
C# NoteOn, Abs: 1536 (D 32)
C# NoteOff, Abs: 1552 (D 16)
A# NoteOn, Abs: 1568 (D 16)
A# NoteOff, Abs: 1584 (D 16)
D NoteOn, Abs: 1600 (D 16)
D NoteOff, Abs: 1616 (D 16)
E NoteOn, Abs: 1632 (D 16)
E NoteOff, Abs: 1648 (D 16)
C NoteOn, Abs: 1680 (D 32)
C NoteOff, Abs: 1696 (D 16)
D NoteOn, Abs: 1704 (D 8)
D NoteOff, Abs: 1720 (D 16)
A# NoteOn, Abs: 1752 (D 32)
A# NoteOff, Abs: 1768 (D 16)
F# NoteOn, Abs: 1800 (D 32)
F# NoteOff, Abs: 1816 (D 16)
G# NoteOn, Abs: 1824 (D 8)
G# NoteOff, Abs: 1840 (D 16)
F NoteOn, Abs: 1848 (D 8)
F NoteOff, Abs: 1864 (D 16)
D NoteOn, Abs: 1968 (D 104)
D NoteOff, Abs: 1984 (D 16)
C# NoteOn, Abs: 1992 (D 8)
C# NoteOff, Abs: 2008 (D 16)
C NoteOn, Abs: 2016 (D 8)
C NoteOff, Abs: 2032 (D 16)
A NoteOn, Abs: 2040 (D 8)
A NoteOff, Abs: 2056 (D 16)
A# NoteOn, Abs: 2088 (D 32)
A# NoteOff, Abs: 2104 (D 16)
D NoteOn, Abs: 2136 (D 32)
D NoteOff, Abs: 2152 (D 16)
D# NoteOn, Abs: 2160 (D 8)
D# NoteOff, Abs: 2176 (D 16)
F# NoteOn, Abs: 2184 (D 8)
F# NoteOff, Abs: 2200 (D 16)
D# NoteOn, Abs: 2232 (D 32)
D# NoteOff, Abs: 2248 (D 16)
F# NoteOn, Abs: 2256 (D 8)
F# NoteOff, Abs: 2272 (D 16)
G# NoteOn, Abs: 2280 (D 8)
