TrackName: Bass Line
C Controller, Abs: 0 (D 0)
E ProgramChange, Abs: 0 (D 0)
TimeSignature: (4 / 4) 
Tempo: 105
F# NoteOn, Abs: 0 (D 0)
F# NoteOff, Abs: 16 (D 16)
F# NoteOn, Abs: 24 (D 8)
F# NoteOff, Abs: 40 (D 16)
F# NoteOn, Abs: 72 (D 32)
F# NoteOff, Abs: 88 (D 16)
F# NoteOn, Abs: 120 (D 32)
F# NoteOff, Abs: 136 (D 16)
F# NoteOn, Abs: 144 (D 8)
F# NoteOff, Abs: 160 (D 16)
C# NoteOn, Abs: 192 (D 32)
C# NoteOff, Abs: 208 (D 16)
C NoteOn, Abs: 288 (D 80)
C NoteOff, Abs: 304 (D 16)
C NoteOn, Abs: 384 (D 80)
C NoteOff, Abs: 400 (D 16)
G# NoteOn, Abs: 456 (D 56)
G# NoteOff, Abs: 472 (D 16)
E NoteOn, Abs: 528 (D 56)
E NoteOff, Abs: 544 (D 16)
A NoteOn, Abs: 600 (D 56)
A NoteOff, Abs: 616 (D 16)
C NoteOn, Abs: 648 (D 32)
C NoteOff, Abs: 664 (D 16)
A# NoteOn, Abs: 696 (D 32)
A# NoteOff, Abs: 712 (D 16)
A NoteOn, Abs: 720 (D 8)
A NoteOff, Abs: 736 (D 16)
G# NoteOn, Abs: 768 (D 32)
G# NoteOff, Abs: 784 (D 16)
F NoteOn, Abs: 800 (D 16)
F NoteOff, Abs: 816 (D 16)
A NoteOn, Abs: 832 (D 16)
A NoteOff, Abs: 848 (D 16)
A# NoteOn, Abs: 864 (D 16)
A# NoteOff, Abs: 880 (D 16)
G NoteOn, Abs: 912 (D 32)
G NoteOff, Abs: 928 (D 16)
A NoteOn, Abs: 936 (D 8)
A NoteOff, Abs: 952 (D 16)
F NoteOn, Abs: 984 (D 32)
F NoteOff, Abs: 1000 (D 16)
D NoteOn, Abs: 1032 (D 32)
D NoteOff, Abs: 1048 (D 16)
E NoteOn, Abs: 1056 (D 8)
E NoteOff, Abs: 1072 (D 16)
C NoteOn, Abs: 1080 (D 8)
C NoteOff, Abs: 1096 (D 16)
C NoteOn, Abs: 1152 (D 56)
C NoteOff, Abs: 1168 (D 16)
G# NoteOn, Abs: 1224 (D 56)
G# NoteOff, Abs: 1240 (D 16)
E NoteOn, Abs: 1296 (D 56)
E NoteOff, Abs: 1312 (D 16)
A NoteOn, Abs: 1368 (D 56)
A NoteOff, Abs: 1384 (D 16)
C NoteOn, Abs: 1416 (D 32)
C NoteOff, Abs: 1432 (D 16)
A# NoteOn, Abs: 1464 (D 32)
A# NoteOff, Abs: 1480 (D 16)
A NoteOn, Abs: 1488 (D 8)
A NoteOff, Abs: 1504 (D 16)
G# NoteOn, Abs: 1536 (D 32)
G# NoteOff, Abs: 1552 (D 16)
F NoteOn, Abs: 1568 (D 16)
F NoteOff, Abs: 1584 (D 16)
A NoteOn, Abs: 1600 (D 16)
A NoteOff, Abs: 1616 (D 16)
A# NoteOn, Abs: 1632 (D 16)
A# NoteOff, Abs: 1648 (D 16)
G NoteOn, Abs: 1680 (D 32)
G NoteOff, Abs: 1696 (D 16)
A NoteOn, Abs: 1704 (D 8)
A NoteOff, Abs: 1720 (D 16)
F NoteOn, Abs: 1752 (D 32)
F NoteOff, Abs: 1768 (D 16)
D NoteOn, Abs: 1800 (D 32)
D NoteOff, Abs: 1816 (D 16)
E NoteOn, Abs: 1824 (D 8)
E NoteOff, Abs: 1840 (D 16)
C NoteOn, Abs: 1848 (D 8)
C NoteOff, Abs: 1864 (D 16)
E NoteOn, Abs: 1920 (D 56)
E NoteOff, Abs: 1936 (D 16)
C NoteOn, Abs: 1992 (D 56)
C NoteOff, Abs: 2008 (D 16)
F NoteOn, Abs: 2064 (D 56)
F NoteOff, Abs: 2080 (D 16)
A NoteOn, Abs: 2112 (D 32)
A NoteOff, Abs: 2128 (D 16)
F NoteOn, Abs: 2184 (D 56)
F NoteOff, Abs: 2200 (D 16)
F NoteOn, Abs: 2208 (D 8)
F NoteOff, Abs: 2224 (D 16)
A NoteOn, Abs: 2256 (D 32)
A NoteOff, Abs: 2272 (D 16)
E NoteOn, Abs: 2304 (D 32)
E NoteOff, Abs: 2320 (D 16)
G# NoteOn, Abs: 2376 (D 56)
G# NoteOff, Abs: 2392 (D 16)
C NoteOn, Abs: 2448 (D 56)
C NoteOff, Abs: 2464 (D 16)
F NoteOn, Abs: 2472 (D 8)
