TrackName: Percussion
C Controller, Abs: 0 (D 0)
C ProgramChange, Abs: 0 (D 0)
TimeSignature: (4 / 4) 
Tempo: 105
A NoteOn, Abs: 0 (D 0)
A NoteOff, Abs: 32 (D 32)
A NoteOn, Abs: 48 (D 16)
A NoteOff, Abs: 64 (D 16)
A NoteOn, Abs: 72 (D 8)
A NoteOff, Abs: 104 (D 32)
A NoteOn, Abs: 120 (D 16)
A NoteOff, Abs: 136 (D 16)
A NoteOn, Abs: 144 (D 8)
A NoteOff, Abs: 176 (D 32)
A NoteOn, Abs: 192 (D 16)
A NoteOff, Abs: 224 (D 32)
A NoteOn, Abs: 264 (D 40)
A NoteOff, Abs: 296 (D 32)
A NoteOn, Abs: 312 (D 16)
A NoteOff, Abs: 328 (D 16)
A NoteOn, Abs: 336 (D 8)
A NoteOff, Abs: 352 (D 16)
A NoteOn, Abs: 360 (D 8)
A NoteOff, Abs: 376 (D 16)
A NoteOn, Abs: 384 (D 8)
A NoteOff, Abs: 400 (D 16)
A NoteOn, Abs: 432 (D 32)
A NoteOff, Abs: 448 (D 16)
A NoteOn, Abs: 464 (D 16)
A NoteOff, Abs: 480 (D 16)
A NoteOn, Abs: 480 (D 0)
A NoteOff, Abs: 512 (D 32)
A NoteOn, Abs: 528 (D 16)
A NoteOff, Abs: 544 (D 16)
A NoteOn, Abs: 560 (D 16)
A NoteOff, Abs: 576 (D 16)
A NoteOn, Abs: 576 (D 0)
A NoteOff, Abs: 592 (D 16)
A NoteOn, Abs: 624 (D 32)
A NoteOff, Abs: 640 (D 16)
A NoteOn, Abs: 656 (D 16)
A NoteOff, Abs: 672 (D 16)
A NoteOn, Abs: 672 (D 0)
A NoteOff, Abs: 704 (D 32)
A NoteOn, Abs: 720 (D 16)
A NoteOff, Abs: 736 (D 16)
A NoteOn, Abs: 752 (D 16)
A NoteOff, Abs: 768 (D 16)
A NoteOn, Abs: 768 (D 0)
A NoteOff, Abs: 784 (D 16)
A NoteOn, Abs: 816 (D 32)
A NoteOff, Abs: 832 (D 16)
A NoteOn, Abs: 848 (D 16)
A NoteOff, Abs: 864 (D 16)
A NoteOn, Abs: 864 (D 0)
A NoteOff, Abs: 896 (D 32)
A NoteOn, Abs: 912 (D 16)
A NoteOff, Abs: 928 (D 16)
A NoteOn, Abs: 944 (D 16)
A NoteOff, Abs: 960 (D 16)
A NoteOn, Abs: 960 (D 0)
A NoteOff, Abs: 976 (D 16)
A NoteOn, Abs: 1008 (D 32)
A NoteOff, Abs: 1024 (D 16)
A NoteOn, Abs: 1040 (D 16)
A NoteOff, Abs: 1056 (D 16)
A NoteOn, Abs: 1056 (D 0)
A NoteOff, Abs: 1088 (D 32)
A NoteOn, Abs: 1104 (D 16)
A NoteOff, Abs: 1120 (D 16)
A NoteOn, Abs: 1136 (D 16)
A NoteOff, Abs: 1152 (D 16)
A NoteOn, Abs: 1152 (D 0)
A NoteOff, Abs: 1168 (D 16)
A NoteOn, Abs: 1200 (D 32)
A NoteOff, Abs: 1216 (D 16)
A NoteOn, Abs: 1232 (D 16)
A NoteOff, Abs: 1248 (D 16)
A NoteOn, Abs: 1248 (D 0)
A NoteOff, Abs: 1280 (D 32)
A NoteOn, Abs: 1296 (D 16)
A NoteOff, Abs: 1312 (D 16)
A NoteOn, Abs: 1328 (D 16)
A NoteOff, Abs: 1344 (D 16)
A NoteOn, Abs: 1344 (D 0)
A NoteOff, Abs: 1360 (D 16)
A NoteOn, Abs: 1392 (D 32)
A NoteOff, Abs: 1408 (D 16)
A NoteOn, Abs: 1424 (D 16)
A NoteOff, Abs: 1440 (D 16)
A NoteOn, Abs: 1440 (D 0)
A NoteOff, Abs: 1472 (D 32)
A NoteOn, Abs: 1488 (D 16)
A NoteOff, Abs: 1504 (D 16)
A NoteOn, Abs: 1520 (D 16)
A NoteOff, Abs: 1536 (D 16)
A NoteOn, Abs: 1536 (D 0)
A NoteOff, Abs: 1552 (D 16)
A NoteOn, Abs: 1584 (D 32)
A NoteOff, Abs: 1600 (D 16)
A NoteOn, Abs: 1616 (D 16)
A NoteOff, Abs: 1632 (D 16)
A NoteOn, Abs: 1632 (D 0)
A NoteOff, Abs: 1664 (D 32)
A NoteOn, Abs: 1680 (D 16)
A NoteOff, Abs: 1696 (D 16)
A NoteOn, Abs: 1712 (D 16)
A NoteOff, Abs: 1728 (D 16)
A NoteOn, Abs: 1728 (D 0)
